问题,浏览量,关注量,回答量,赞同量,点击率
有哪些恶有恶报的故事？,103930,3,5,1035,23.29
乙女游戏出现过哪些让你觉得雷的情节？,124572,21,12,1139,14.35
黄眉是否是《黑神话:悟空》中最成功的反派角色？,223384,30,11,1546,24.7
羽毛球掌握什么原理后让你球技大涨?,75710,282,11,469,22.16
为什么西餐里很少出现鸭子？,170404,15,10,4255,28.81
一个人智商高了有多可怕？,161349,32,1,566,10.42
为什么大多数人是存不住钱的？,78576,78,25,525,21.32
如何评价综艺《花儿与少年》第六季？,191736,44,30,1636,19.94
有没有熬夜也要看完的有趣的宫斗宅斗小说？,476497,4,3,4584,39.49
为什么医院里的护士都那么好看？,195575,82,47,2022,20.72
女性是否生育次数越多生理负担越小?,113400,34,8,2002,26.25
世界上最大的宫殿是故宫吗?,133826,38,31,3912,23.69
为什么这么多人喜欢散兵？,68126,30,27,4762,23.3
你和陌生人有过哪些有趣的互动？,221986,33,8,4102,25.59
为什么144小时免签的vlog老外都说中国街道安静？,199389,19,5,4314,27.42
有没有那种钝感力超绝的女主？,208270,17,8,2324,11.33
一岁八个月的女儿吃包子，只吃馅不吃皮，要逼她吃皮吗？,65933,138,132,3307,23.0
学历贬值，年轻人离开办公室走进技校回炉「本升专」，哪些原因造成了技术断层？大学教育如何解决这一矛盾？,282690,451,138,2014,7.81
你曾入住过最差的宾馆有多差？,67654,16,9,1162,30.12
能干成大事的人都是什么样的人？,64773,80,10,1553,16.3
有没有那种女主是人间清醒的文?,122720,5,3,1655,26.9
女朋友是体育生是一种什么体验？,149610,14,1,527,30.16
有好看的甜文小说吗？,98920,53,22,1511,17.64
逛街时遇到女友的前男友，他对我说：“我玩腻的垃圾，你却当成宝”，我要怎么回话，才能怼赢他？,108077,179,147,1768,21.74
近来遇到失业者越来越多，我们要如何度过这段失业时光，等待转机出现？,120759,103,42,1059,17.48
明星不拍戏的时候都在干什么？,337439,29,5,1209,24.87
如何以“我嫁给了我爹宿敌的儿子”为开头写一个故事？,64537,17,5,1184,32.29
过量运动会让人衰老加快吗？,184462,29,17,1063,23.54
酒店床单染上血要赔吗？,187495,9,6,724,19.77
异地恋大概很难在一起吧？,91809,20,6,555,27.43
有没有什么能把你虐哭的短篇小说？,55691,10,8,759,18.09
为什么全智贤宋慧乔没有像张紫妍崔雪莉那种遭遇？,419260,23,1,978,22.42
你高三时的理想大学是哪？最后又考到了哪？,87561,31,20,1490,22.26
如何评价刘国梁告诉陈梦女子乒乓球运动员只有拿到两个奥运单打冠军才算成功？,173966,106,90,5854,24.08
目前中国有哪些性价比低的大学？,83319,21,9,455,23.74
你认为《英雄联盟》中制作最失败的英雄是哪一个？,174724,4,4,617,27.82
一个人有多少存款，才能避免生存焦虑？,92876,36,8,312,18.55
为什么新中国不处决“宣统帝”溥仪？,92287,26,13,3155,27.19
西安的你，择偶的标准是怎样的？,41909,30,10,112,21.06
有哪些外行人看来很蠢的设计实际上却是精妙无比？,341324,23,2,6514,26.39
你是通过什么事情才知道自己丑的？,172276,42,10,2082,15.97
有没有表现巨物恐惧症的图片？,291712,27,6,4071,28.73
有哪些话一听就知道一个程序员是个水货？,180249,10,5,880,25.27
真的有人在开车前会绕车一圈吗？,119928,13,8,2106,28.18
你们遇到最变态的两性交往是什么样的？,132476,23,2,835,24.42
请问如何怼一个见到IP属地北京就“京爷我给您磕一个”乱叫的人？,151098,31,18,9058,27.9
如何看待大学生给初高中生补课？,125107,31,6,2123,25.73
陈宝国在《大明王朝 1566》饰演的嘉靖怎么样？,355056,32,5,9128,24.69
如何评价黄晓明的绯闻女友叶珂？,226270,38,17,2332,26.71
为什么中国死刑要最高院核准？ 如果跳过这一步，先斩后奏，可以吗？,153282,37,10,1130,17.34
能不能客观地讲一讲华为手机？,70151,19,10,2281,23.96
如何评价王楚钦?,260180,55,40,5229,28.76
为什么狼群不敢攻击有牧羊犬保护的羊群？狼群难道打不过一条狗？,82265,15,7,3971,23.41
古代世家贵女的人生，由得了自己做主吗？,143764,3,1,1825,29.13
历史上有哪些值得尊敬的小人物？,237417,79,8,6550,22.34
为什么很多人大学毕业后就对二次元和galgame没什么感觉了？,96637,80,16,2089,20.02
为什么说《流浪地球》只有中国人能拍？,176492,14,4,5258,27.39
想看你看过巨好看的大女主小说，孩子已经要饿死了？,256857,11,2,3793,36.13
如何杜绝老公凌晨一两点打游戏？,222167,59,32,3618,26.47
有没有什么沙雕睡前小甜饼？,71741,18,7,1362,27.46
为什么美国的肯德基可乐饮料可以免费续杯？,234637,32,15,5591,27.04
男朋友的电脑可以用吗？,120209,26,5,1326,29.39
在一起俩月了，女朋友突然给我说这，怎么办?,245223,43,5,525,25.44
怎么对清北同龄人心理上祛魅？,110311,64,13,2417,24.33
为什么健身房 10 家有 9.5 家倒闭?,119403,17,6,1016,26.17
我给我妈发了一个表情包，但她当真了我该怎么解释?,123940,31,6,996,27.57
《人民的名义》有哪些穿帮、瑕疵和硬伤？,186748,16,4,2177,25.14
我弟的观点是人的一生命运早已注定，我该怎么反驳他？,52882,91,43,704,17.72
老婆的姐姐准备长久住进我家，怎么办？,190203,16,4,2486,28.36
西方当初为什么愿意把科学教给中国？,172649,36,22,2561,25.36
如何看待以色列斩首行动？,187829,51,17,5234,26.67
为什么中国有那么多人都喜欢拆承重墙？,128250,38,13,4166,24.39
警犬知道自己是警犬么？,191214,23,2,5167,20.85
古代的聪明女子，怎样才算过好一生？,135466,6,0,1570,28.12
如果让恶毒女配提前知道剧情，会发生什么？,84491,16,7,1225,29.44
特别想问，为什么国乒断代这么严重？,213268,17,5,3070,25.49
为什么“小费文化”在中国流行不起来？,195717,28,24,2406,26.52
韩国人有哪些令人恐惧的细节？,194411,12,1,1805,23.98
你什么时候意识到应该离职了?,150591,28,8,1319,14.65
你们看过的最好看的女主重生文是什么？,132717,5,4,1171,32.36
华为的接班人可能是谁？,144265,13,7,1019,23.75
当初那些希望房价暴跌的人，现在二手房价几乎腰斩了，现在日子过得咋样？,110060,95,49,1822,19.74
有哪些沙雕古言甜文？,96766,17,8,1164,25.47
遇到变态手里握有裸照威胁怎么办？,185770,33,6,6773,26.15
《骆驼祥子》中祥子最终拒绝小福子的原因是什么？,215133,31,6,3131,26.12
有什么关于石家庄的冷知识？,222083,188,59,1824,17.39
这是什么蛇啊?像穿了小衣服?,204181,12,4,1205,19.27
你看过最恶心的小说剧情是什么？,94368,13,4,1157,20.47
北京人大附中和衡水中学PK同一张卷子结果会怎么样？,124179,58,57,944,21.24
京东到底出什么事了？我就看到说请杨笠代言?,174303,127,74,2639,21.15
有哪些酷刑是人类的意志承受不了的？,108092,31,6,1344,26.35
有什么甜到嘴角疯狂上扬的小说？,131263,14,2,2453,19.27
有没有青梅竹马追妻火葬场的故事？,91605,22,7,1000,20.56
家里突然出现这种虫子，是衣鱼吗？,465575,40,1,643,26.98
你都见过什么样的历史盲？,122029,22,12,3371,26.2
现在的台湾人会看大陆电视节目、电影吗？,162390,13,2,1294,25.68
外国人眼中的汉字是怎样的？,165826,7,1,4551,27.88
有没有追妻火葬场的虐心的故事？,103209,12,2,1296,21.17
作为纳税人，可以提议给公务员降薪吗？,68460,37,35,2013,20.02
在中国历史上，你觉得谁是最伟大的人？,61089,244,225,3330,18.03
如何评价重庆这个城市？,135220,28,6,930,20.48
工资突然爆炸式提升是什么感觉？,218334,55,9,1202,24.64
有没有高质量古言故事？,149539,11,0,1011,21.42
怎么感觉人们对老版《亮剑》的评价在降低？,128532,42,12,1876,24.99
为什么我对郭沫若没有一点好感?,92158,34,22,4542,24.67
如何评价董宇辉？,117041,18,10,780,25.94
有没有从头到尾都很清醒的女主？,176823,12,3,1908,20.78
如何评价2024年10月米哈游《崩坏星穹铁道》2.6《模拟宇宙 不可知域》？,160815,120,78,1290,23.62
入坑了，出不来了，有没有人再推荐点特别值得推荐的复仇小说砸死我？,255412,6,1,2277,41.73
在书包上挂「可以找我借卫生巾」的牌子有错吗？,95732,66,25,4046,21.15
有哪些特别好看的言情小说？,154511,19,6,1812,29.41
为什么四大名著里只有《红楼梦》发展出了红学，而其他三部却很少有人问津？,244114,260,152,1731,11.56
在你的德州扑克生涯中，都碰到过什么小概率事件？,90043,13,10,173,24.04
有没有你见人就忍不住推荐的追妻火葬场小说？,100047,65,16,938,21.97
如何评价近期原神“趁机上桌”的说法?原神作为首个荣获TGA奖项的国产原创IP游戏不是早就“入席”了吗？,197331,36,32,5805,25.66
37岁失业了超级痛苦，怎么办？,93305,61,7,159,19.44
毫无预兆地遇见知名人物是种怎样的体验?,205226,13,7,2004,31.57
为什么美国游客来中国大多满意；中国游客去美国大多失望？,111672,23,10,2261,25.4
大明王朝1566评价极高，至今我没看到负面说法。它真的毫无缺点么？ (非黑，刚开始看)？,98844,16,10,1769,23.89
现实中大龄剩女有没有妥协呢？,114763,6,2,445,28.8
为什么女朋友觉得年入百万是很简单的事？,202779,44,8,1994,26.97
为什么百度搜索引擎越做越差？,104684,20,15,2172,26.44
有没有超级有意思的言情小说？,73904,20,4,1031,28.79
一个人上午被确诊为癌症，那他中午会干嘛？,297252,59,39,1968,23.55
谁才是黄蓉的最佳扮演者？,94061,7,5,298,32.29
00 后吐槽公司无效加班被开除，企业有何法律依据？如何界定员工言论自由与公司名誉权界限？,252940,367,146,2002,7.18
如何看待鸣潮1.3守岸人卡池跌破200名飞榜后，库洛再次发公告宣布打击内鬼？,164108,105,90,5081,27.06
T1夺冠概率有多大？,363133,47,32,1913,23.72
如何评价大冰？,310671,74,33,3385,25.65
知乎上有哪些完结爽文让你觉得「这是我尊贵的盐选会员该看的爽文」?,145274,30,4,1457,21.23
如何虚构一个中国姓氏，使其没有违和感？,253912,45,45,1658,27.71
彩礼这一传统习俗有没有可能逐渐消失？,104816,62,67,3249,21.75
有没有哪个女明星刚出道很美，但很快就长老长残了的？,220313,13,0,1216,27.21
ETH 也不接收七子的学生读博了吗？,217699,124,29,1297,22.58
可以拍一张你们家小动物的照片吗？,54893,56,38,3615,18.72
找老婆什么最重要?,81144,106,6,777,22.69
刚上大学学校着火了，我报了火警，被导员问责，说要让我休学，我该怎么办？,179054,34,18,6957,21.38
你认为近百年江西的最大教训是什么？,110600,53,17,1003,22.89
孩子可能不健康还要生下来吗？,134099,22,12,2222,24.22
在古代，什么叫做真正洒脱的女子？,138440,13,5,1468,16.93
有没有病娇类文！带感的！占有欲很强的文?,44460,30,10,682,22.79
有什么巨爽无比的爽文？,217229,20,1,2158,20.38
有没有一些关于克格勃的趣事？,349744,100,2,10403,28.61
双十一叠加国补，最值得买大家电的时机终于来了，海信电视有哪些可以闭眼入的型号？,293857,308,316,358,2.05
来个代码大佬看看写的这是啥，天天看他在朋友圈里装逼……?,147784,33,9,821,20.17
有没有甜甜的校园小短文？,73381,11,1,996,29.6
为什么说“新能源车取代油车是闹剧”？,155817,98,80,3363,22.48
目前谁可以称得上亚洲体坛第一人？,213394,39,21,4043,24.37
可以分享一张你家猫最可爱的照片吗?,71246,33,12,3184,24.4
这两天掘金小米汽车，突然想到，万一军儿真整坨大的，搞出来个芯片，千亿研发尴不尴尬？,118993,48,41,1108,18.78
人类有没有可能是宇宙中唯一的文明？,75642,28,11,704,18.46
有没有那种虐文短篇小说？,57020,21,6,674,20.29
女生被强奸以后要报警吗？,225807,26,13,666,23.78
《流浪地球 2》里，要求五十岁以上的执行必死的任务，是否是道德绑架？,99156,10,10,3799,22.82
房价一直在降 现在该不该买房？,86980,68,39,468,16.89
年轻人得癌症是种怎样的体验？,72702,20,5,526,21.41
如何看待「百分之五十以上选蓝色就可全员存活，蓝色不超过百分之五十则红方存活」选择下的众生百态?,173192,191,129,3812,17.46
金箍棒的设定是不是太弱了？,239117,46,32,4402,22.37
没有经济压力、不婚不育不工作、每天睡到自然醒、爱干啥干啥，这样的人会烂掉吗？,170477,355,80,3209,15.51
为什么几乎所有大学专业都在劝退？,104183,89,15,1493,22.4
刘国梁会不会是下一个李铁？,254405,38,19,1057,29.45
《斗罗大陆》中有哪些情节暴露了唐家三少缺乏生活常识？,178115,8,4,5005,24.27
有没有特别搞笑的图片？,121349,7,0,1615,28.55
为什么国人普遍不接受卫生棉条？,160722,10,6,544,14.37
为什么中国人不使用钢制的筷子？这样可以节省大量的树木？,97065,25,18,2229,23.47
对亲情的失望透顶是一种什么感觉？,112374,14,1,650,27.12
有没有虐得你久久不能恢复的短篇小说？,56314,22,5,805,21.6
"对方酒驾，我们提出私了要了3.5W,会被认为敲诈勒索吗？",131894,10,6,1566,21.38
离婚是一种怎样的体验？,86762,47,16,719,26.23
如何看待有人磕胖莎?,44363,40,35,891,28.0
S14 八强淘汰赛，TES 输真的该「BP」背锅吗?,158893,123,105,849,18.7
你们男寝发生过哪些难忘的事？,98912,10,3,520,24.46
什么原因导致了东北的发展缓慢？,112391,104,74,1376,20.77
《潜伏》中，李涯和陆桥山都死了，很显然内鬼就是余则成了，为何余则成没有暴露？,89257,15,10,1226,23.05
2025 年的 TES 还有可能保持这套班底吗？,298407,55,51,1818,21.8
中国允许双国籍吗？,108267,43,23,1809,24.47
男女关系是从睡觉以后真正开始吗？,116520,70,19,846,24.11
有没有那种女主故意招惹高岭之花的男主，最后男主黑化成病娇的小说？,95511,16,0,1005,29.4
《逆行人生》中徐峥一个月送2000单为什么能挣一万五千元？,133180,26,13,2823,22.98
越南妹子真的想嫁给中国男孩吗？,247759,16,6,1897,29.92
如何评价中国汉堡塔斯汀？,196861,52,53,2176,20.18
有没有让人甜到牙疼的双男主文？,62791,18,2,1526,25.26
在中国科学技术大学网站，搜索”潘建伟“，显示数由6552条变为211条，意味着什么？,286643,132,8,2152,22.8
为什么领导很少提拔老实人，反而那种一看油嘴滑舌的人升的更快？,171731,194,59,2763,18.6
一张纸对折105次，宇宙就真的放不下了吗？,243978,29,19,1442,20.04
为什么我这边的蛇越来越来少见了？,212957,13,7,750,15.5
不孕不育是种什么滋味？,98887,15,5,573,21.59
人民史观如何解释西班牙内战胜利的是佛朗哥？,84900,54,21,4732,24.2
从小父母做菜难吃是怎样的体验？,98081,35,17,3018,23.46
每天吃半斤牛肉，连续吃一年体质会不会有变化？,138749,40,4,1250,22.49
最让你震惊的网站有哪些？,118276,171,3,2562,11.81
我应该设置多少kb才能让他不能玩游戏？,105596,23,14,2973,23.27
有没有女主清醒格局大的爽文?,76117,26,10,948,26.43
一个人被两个病娇同时盯上，会发生什么?,182914,24,2,3539,13.69
男生吃醋的时候是什么样子的？,197191,5,0,2670,25.59
被时代淘汰的水果有哪些？,153413,16,2,768,22.93
有没有那种娱乐圈的爽文？,114160,9,1,1248,18.11
如何看待江苏一23岁青年约人飙车遭群友辱骂，线下持刀杀死一人，冲撞摩托俱乐部？,156770,165,133,2848,17.88
Faker 的反应速度达到了什么程度？,283364,8,4,2722,25.13
如何看待京东找杨笠宣传之后，很快删除了杨笠相关内容？,929537,231,87,26858,26.48
樊振东女友是队内还是队外的？,94260,12,9,385,28.13
为什么不把数学变成小科，让学得会的人去学呢？,142236,94,90,7620,23.94
舔狗到底有多么卑微?,107171,14,6,1172,28.45
二次元怎么看待“哈基米”一词的走红？,193427,56,35,4141,30.3
有没有追妻火葬场，结果女主爱上别人，嫁给别人的文？,85820,14,5,932,24.22
红薯为什么不能主粮化？,82436,26,18,564,24.18
去澳门赌钱的就没有赢的吗？,98611,12,8,452,21.74
图片中的这位持枪女士叫什么名字？,214543,18,1,437,31.64
如何评价问界M9？,144691,25,19,1715,23.54
为什么很多父母觉得所有游戏，尤其是moba类可以随时暂停？,88264,20,14,2515,24.6
实体店为什么生意越来越难做了？,122260,29,13,1035,23.63
我想看一些关于女主很聪明的小说，不要太弱智的，看起来很爽的文呜呜呜?,88432,24,8,1199,29.97
元末给你七万精兵，你敢跟朱元璋扳手腕吗？,147032,180,154,1323,19.6
古代贵女的一生是按部就班的的吗？,117115,12,5,941,21.56
古代的丫鬟每天都做什么？,149243,6,3,1872,18.24
我想问问真的有女生不会想生孩子嘛？,116921,37,22,5440,24.81
如果一辈子不结婚，是不是很快乐?,83669,77,28,969,20.18
酒驾被拘15天在里面都干些什么？,127031,11,6,958,20.79
有没有什么巨爽的爽文推荐的？,96755,12,5,1083,20.31
李安 6 年在家赋闲，为什么不出去打工？,165334,223,35,3385,22.9
为什么长城汽车的销量会不断下滑？,214039,37,25,6144,26.0
刘强东是不是苦出身？,187406,15,10,1296,26.85
有特别特别特别好看的重生小说推荐嘛？,181295,8,4,1894,27.55
约会两次后男生不理我了，哪里出问题了？,149401,30,4,617,25.19
为什么现在很多餐厅都开始抵制探店主播了?,167845,11,6,1213,25.62
有农民工误入歧途变成「职业背债人」，专门为他人承担债务，这是什么产业链？需要承担哪些法律风险？,261104,373,109,1084,9.85
如何以「我及笄那天，雪下的很大，他说要退婚」为头，写一篇小说？,112385,16,3,1342,29.39
初中生写出这样的文笔算绝吗？,97539,45,18,1826,24.32
如何评价天津这个城市？,73377,21,7,1744,22.33
能不能求甜文！越甜越好！？,83145,12,2,1246,23.97
为什么想自律却自律不起来？,67339,107,47,1673,18.45
有哪些魔法打败魔法的故事？,198724,18,1,5991,24.53
英雄联盟总决赛S14，TES vs T1的比赛中，为什么本来选择相信的解说王多多能被打到破防？,741573,190,147,4182,21.79
你看过最好的十本网络小说是什么？,72571,29,1,187,17.81
如果太阳突然熄灭了，当前科技水平下，人类能生存多久？,137847,30,12,777,17.83
已知在某种进制下2×3=10，那么在该进制下3×5等于多少？,201779,76,44,2069,23.13
为什么游戏科学只有百十来号人就能做出《黑神话：悟空》？,104484,32,15,4943,24.21
WPS和Office到底谁抄袭谁的？,145277,16,8,224,26.09
你刚玩《英雄联盟》时闹过什么笑话？,89725,11,7,878,28.89
为什么越来越多的学生感染艾滋病？,109728,108,23,1858,21.34
中国有哪些逆天的文物？,191635,48,1,5071,24.75
你愿意为了209万元的和解费用，被王思聪当街打一顿吗？,224547,51,33,7484,29.26
黄多多给你一种什么感觉？,168499,12,3,1294,22.47
《喜剧之王单口季》高热收官，总决赛有哪些令人深刻的瞬间？你最喜欢哪位选手？,282117,162,103,1688,13.81
有没有“虐妻一时爽，追妻火葬场”的小说呢?,88457,12,1,1116,19.74
为什么粤菜在别的地方火不起来？,213808,212,125,1098,16.25
计算机学院的老师们的实际编程能力如何？,105607,17,6,1043,22.58
如何以“算了，我来嫁。”为开头写一个故事？,79935,10,2,1273,27.38
可以免费在健身房给女性划一块自由力量区域吗？,70556,26,23,1801,23.22
古代女奴隶如果怀了主人的孩子能母凭子贵吗？,96642,15,8,1398,22.82
为什么很多离异的30-40岁的女性，很难找到老公再婚？,109459,33,6,803,25.64
日系车那么脆皮，一碰就碎，为什么销量那么好，怎么考虑的？,73497,34,26,2171,21.86
有哪个瞬间很心疼一个人？,180960,20,3,2087,21.74
重庆的你，择偶的标准是怎样的？,69875,23,4,297,20.81
为什么有人说老外喝不了中国的白酒？,202545,16,10,1122,22.21
为什么顶级运动员都很漂亮？,227845,18,12,2013,28.78
有人说x86是条必沉的船，苹果早就跳船了，微软也有弃船的意图，你怎么看？,740724,356,123,5709,18.92
自然界哪些生物可以扛住十发巴雷特？,121666,8,4,841,32.13
被病娇喜欢是怎样一种体验？,85403,14,1,1867,21.58
什么样的性格适合体制内？,103911,65,10,2216,22.71
B站有哪些比较恶心的功能？,145374,27,23,4168,23.02
如何评价关晓彤本人？,148271,11,8,2008,25.28
华为发布了新款 WATCH Ultimate 非凡探索，如何评价这款搭载专业高尔夫功能的智能手表？,264924,296,94,924,3.25
为什么雷军身上没有酒色财气？,126761,17,1,1195,21.09
10 月 25 日北证 50 指数大幅冲高回落，沪深两市全天成交额 1.77 万亿，如何看待今日行情？,201381,194,125,1298,18.06
为什么有那么多的人在质疑国漫，国漫明明在崛起啊？,105437,43,18,2607,24.05
刘强东只有在美国的那一次吗？,144575,12,1,712,23.17
为什么张祥前的理论没有引起重视?,76307,51,14,382,18.29
樊振东的超级全满贯是什么含金量?,145906,39,18,1899,26.36
有哪些好看的大女主小说？,97205,8,5,1399,30.49
你为什么喜欢《虹猫蓝兔七侠传》中的虹猫？,305239,38,4,11453,22.86
为什么日本人更加喜欢上海？,125590,37,26,1007,26.9
如何评价部分原神玩家认为原神角色“不擦边，但是涩”的情况？,219603,75,26,3992,29.34
黄金荣为什么会被儿媳李志清卷走所有财产，沦为穷光蛋？,251968,101,19,2232,27.16
为什么《花少 6》周雨彤的表现这么有争议？,298095,82,42,1847,21.7
对一个人下头的瞬间是什么？,106168,14,6,866,27.5
你见过的最虐心的案子是什么？,172385,16,4,1391,18.21
因为对杨笠的看法不同和女朋友吵了一架，怎么办？,89618,296,270,2336,20.55
没文化却自认为有文化有多可怕?,136507,33,5,5769,25.93
法官怕被黑社会威胁吗？,220203,24,13,587,26.22
怎么认知自己的真实长相？,76702,34,4,540,18.14
你们在酒吧最贵的一次消费是多少？,307431,13,3,2547,19.07
生孩子如此麻烦、疼痛、复杂，为什么职校女厕有人能偷偷自己就生下孩子？,206734,31,6,3980,23.62
长得漂亮是种怎样的体验？,57795,26,0,372,24.18
有哪些小说男主很宠女主？,71321,9,4,829,30.31
四年级的学生字写成这样算非常好吗？,92671,32,17,476,22.55
爱与不爱，真的很明显吗?,78064,26,11,343,17.18
医学生能硬核到什么程度?,161725,11,1,3827,24.1
重庆一高校女生以健身房男生多引发不适为由，要求禁止男生进入，对此你怎么看？,155098,214,186,3805,18.59
什么姓氏历史上没出现过名人？,128208,18,6,862,24.48
你身边有哪些神人？,122548,36,5,1678,27.17
为什么现在的人穿瑜伽裤都要在外面套个袜子穿，而且还拉的很高，真的好看吗？,164566,72,13,1827,26.41
孩子抑郁症休学在家疯狂打游戏，这正常吗？,210803,376,164,1027,13.83
上条当麻到底有什么魅力能让两个level5喜欢他?,226502,114,48,1428,23.77
为什么果粉对苹果非常地宽容？,118123,32,15,3141,22.04
有没有张力满满全程高能的双男主文?,122233,36,4,1874,16.89
对恋人渐渐失望是什么感觉？,139123,16,5,35,19.89
如果一天让你干十二个小时，你会去上班吗？,102137,930,854,830,12.56
恋爱十几年的男朋友事业成功后，被小女生追求，不想和我结婚了，该如何挽回这段关系？,159199,150,50,3561,24.31
刘德华为什么要出演《流浪地球》？,162797,29,10,3158,29.15
中国历史上有哪些「神回复」？,92622,16,2,2778,28.54
年轻漂亮的美女最终都被谁娶走了？,85933,21,0,461,30.66
有哪些游戏的死亡惩罚非常严厉？,206346,33,10,2231,28.31
有末日躺平的丧尸小说吗?,69751,10,0,813,17.04
字节跳动大模型训练被实习生恶意注入破坏代码，涉事者已被辞退，攻击带来的影响有多大？暴露出哪些问题？,945856,335,42,4526,15.39
能否拿起，或者用抓夹抓起一个绝对光滑的球体?,296206,98,64,1206,15.5
组织部副部长会影响一个干部的提拔吗？,193662,39,11,564,28.07
有没有听了特别爽的真实复仇故事？,78035,9,1,884,26.62
为什么现在很多女孩不愿意和男生aa?,96905,16,14,5933,24.6
为什么有人认为小米也能随随便便做出鸿蒙系统？,147055,21,14,1904,20.86
为什么周鸿祎快十年的奔驰迈巴赫还能卖990万?,128499,11,6,984,26.3
《三体》里最被低估的人是谁？,79895,12,4,1790,26.49
水性好却游泳时淹死的人，一般都是因为哪些原因？,208318,81,26,7603,22.29
为什么詹姆斯风评这几年急剧下降？,245907,53,32,2146,25.38
古代嫡女和庶女的差别大吗？,141193,4,0,2064,11.2
有哪些关于历史的冷知识？,104895,35,12,942,23.28
室友哪一刻让你觉得恶心?,93398,22,8,1176,20.32
绘圈有哪些画得差还很火的画师？,97541,7,2,1743,15.4
你从别人的旧硬盘里发现了什么有趣的东西？,149797,19,1,405,23.73
如何评价刘涛这名演员？,303493,6,0,1008,31.75
有没有又甜又短的甜文啊？,60385,20,10,738,16.18
女的不生孩子真的会被男的无情抛弃吗？,73760,172,141,2601,25.22
2025 年国考报名人数超 310 万，最大竞争比 10665:1 ，如何看待今年的国考竞争形势？,236736,323,86,810,11.57
意大利人不能接受披萨上放菠萝，那中国人有没有类似的饮食禁区？,107711,19,13,3102,25.09
你在哪个瞬间突然喜欢上了某个历史人物？,80884,34,8,1240,21.36
人的骨灰很多年以后会变成什么？,266958,48,20,1419,21.48
相由心生有没有科学道理？,160630,41,10,1490,23.5
自己的车被借走后遇到过哪些坑爹事？,92457,7,7,273,27.61
孙颖莎未来能否再夺冠军？,164283,59,57,1520,20.24
你看过什么封神级的网络小说?,45047,26,2,233,17.32
有没有什么好看的重生爽文推荐?,91706,20,5,861,26.42
有没有女主特别佛系，心态超级棒，人间清醒的文？,127563,10,0,1593,21.62
《红楼梦》中你们所记得的最小的细节是什么？,65418,11,2,930,28.99
如何评价现在的大学生？,220045,124,17,9042,30.07
听说今年天猫双 11 88VIP 可领取 4 张大额消费券，大家领完后都买了什么？怎样使用最划算？,247686,578,489,503,4.52
推荐一些男主又强又疯批的小说?,72365,18,3,884,16.58
如何评价中国海洋大学百年校庆？,190743,113,47,1427,18.6
如何评价光荣2024年上新的游戏《三国志8 REMAKE》，是新瓶装旧酒么？,230321,135,66,1471,10.17
为什么感觉国产车突然崛起了？,152939,16,5,2060,27.7
为什么教师的社会地位越来越低了？,104348,118,81,1049,22.95
中国在南宋末年，有什么标志性建筑可以媲美科隆大教堂吗？,294268,170,50,2167,15.96
你见过哪些逆天的造假手段？,143560,9,0,3081,23.12
有没有超好看的的娱乐圈文？,113341,7,5,1244,17.96
为什么感觉现在小米的品牌亲和力要高于华为？,190219,37,27,1588,23.41
苏轼一生数次被贬谪，就不能不当官吗？,176456,234,106,1407,17.45
李沁为什么就是不红？,159883,20,7,1233,23.46
985女博，26岁，母胎单，我咋遇不到呢。可能自己153，要求对象175+的，至少硕士，要求太高？,82001,365,333,587,13.5
张艺谋称《黑神话：悟空》剧本非常好，你认为黑神话的剧情适合影视化吗？,126737,130,107,6079,20.97
为什么很多人孩子那么丑，还总在朋友圈发出来晒？他们不觉得孩子丑吗？,145923,9,1,499,27.55
现在很多女孩一听说两个儿子的家庭，立马拒绝，问题出哪呢?,78998,25,13,1357,29.22
有没有很好看的打脸爽文？,94939,6,5,203,24.14
大学生第一次去足浴有点上瘾正常吗？,143068,72,14,1360,25.06
如何评价 2024 WTT 蒙彼利埃冠军赛 1/8 决赛，国乒向鹏 1:3 不敌法国菲利克斯·勒布伦?,234847,95,54,1843,20.46
大学生活让你懂得了什么道理？,161786,51,9,2724,22.74
做过最气的题是什么题？,144314,14,2,6233,25.68
7万人民币和1万美元，在当地的实际购买力哪个更强？,138064,17,12,1826,23.37
世界上真的存在完美犯罪吗？,98236,16,4,860,9.17
为什么很多《英雄联盟》的观众会因为 LPL 战队近几年外战表现不好就不再继续看比赛了？,230371,165,151,1104,14.24
显卡是消费主义的骗局吗?,106207,57,58,1008,22.6
婆婆该不该吃为孩子买的三只荔枝王?,107163,19,16,2418,26.83
家里靠卖鸡蛋饼为生，孩子不能接受，觉得大家都看不起他，家长该怎么办？,84949,33,24,3014,21.07
马龙退役后会干什么？,173917,59,46,2039,24.88
为什么会人走茶凉？,90114,19,6,679,27.5
如何评价长城魏建军称“大环境不好，未来还得有车厂倒闭，其二手车等同废铁”？,157404,141,114,10635,22.81
单位内网经常需要开发一些小工具，哪些语言适合打成exe可双击使用，且适用 Win7 到 Win10？,173243,464,89,677,10.32
有哪些有趣的野史?,110489,9,1,1001,22.68
你怎么看待“小米真的是功德无量”这句话？,170684,23,8,3734,24.41
生理性喜欢是爱吗？,75277,22,4,791,8.81
成都是一个排外的城市么？,170354,13,12,3419,22.66
怀孕时让你最崩溃的瞬间是什么?,192038,16,4,1639,24.19
在东北用餐是一种怎样的体验？,107736,18,2,2625,26.3
让男朋友坐在马桶上上厕所很过分吗？,87371,46,29,1485,18.27
